iditem,idshop
15791396126,34456910
17210358514,222814609
20664476926,394963411
19413729687,420779328
18364417343,788908334
18249315969,448515209
4466113256,304853378
20247263063,711707322
18648329978,34456910
17081278538,36476030
18249538621,788908334
17502174304,546869519
17470212612,394963411
18362612598,711707322
19555137699,34456910
18939632967,94916928
2065187975,128545895
13379407924,171702955
11742453214,18743710
20759259656,711707322
16153390406,403592743
21140708584,74804504
18321528483,156953326
3017024580,1244398
16619940703,410557043
19826501236,711707322
20468788933,34456910
17091308110,18743710
18644420945,408344221
19953574843,448515209
17672279619,777511318
20160927001,711707322
9121938843,171702955
12992394700,264419050
21708989911,788908334
18650023710,222814609
19750211425,620639269
7247834197,132482029
18468212281,273839835
8417094396,90299525
17376502028,711707322
18459535951,10787690
8824778295,297542131
3584330344,132482029
6473649203,214030322
21162236272,18196205
11598054765,394963411
7774723141,2293307
6048474937,31214702
2115755495,22018518
23303833587,213800943
20721529119,156953326
21656567585,394963411
11507106160,443590369
18035803003,31214702
21032123850,451212855
20426502024,711707322
14612124862,432299020
4355176132,262689468
12897413427,751858305
15791396126,34456910
17210358514,222814609
20664476926,394963411
19413729687,420779328
18364417343,788908334
18249315969,448515209
4466113256,304853378
20247263063,711707322
18648329978,34456910
17081278538,36476030
18249538621,788908334
17502174304,546869519
18321528483,156953326
18362612598,711707322
17470212612,394963411
2065187975,128545895
11742453214,18743710
13379407924,171702955
16153390406,403592743
20759259656,711707322
19555137699,34456910
21140708584,74804504
18939632967,94916928
19953574843,448515209
16619940703,410557043
19826501236,711707322
20468788933,34456910
3017024580,1244398
12992394700,264419050
9121938843,171702955
17672279619,777511318
20160927001,711707322
17091308110,18743710
19750211425,620639269
21708989911,788908334
18644420945,408344221
7247834197,132482029
8417094396,90299525
20721529119,156953326
18468212281,273839835
18650023710,222814609
18459535951,10787690
8824778295,297542131
21162236272,18196205
11598054765,394963411
6473649203,214030322
17376502028,711707322
7774723141,2293307
3584330344,132482029
6048474937,31214702
21656567585,394963411
23303833587,213800943
2115755495,22018518
11507106160,443590369
12897413427,751858305
18035803003,31214702
21032123850,451212855
20426502024,711707322
4355176132,262689468
14612124862,432299020
15791396126,34456910
17210358514,222814609
20664476926,394963411
18249315969,448515209
18364417343,788908334
20247263063,711707322
4466113256,304853378
17081278538,36476030
18648329978,34456910
17502174304,546869519
18249538621,788908334
18362612598,711707322
17470212612,394963411
11742453214,18743710
18939632967,94916928
2065187975,128545895
13379407924,171702955
20759259656,711707322
19555137699,34456910
16153390406,403592743
21140708584,74804504
3017024580,1244398
18321528483,156953326
19826501236,711707322
16619940703,410557043
17091308110,18743710
20468788933,34456910
18644420945,408344221
19953574843,448515209
20160927001,711707322
17672279619,777511318
9121938843,171702955
12992394700,264419050
21708989911,788908334
18650023710,222814609
19750211425,620639269
7247834197,132482029
18468212281,273839835
8417094396,90299525
17376502028,711707322
18459535951,10787690
8824778295,297542131
3584330344,132482029
6473649203,214030322
21162236272,18196205
11598054765,394963411
7774723141,2293307
6048474937,31214702
2115755495,22018518
23303833587,213800943
20721529119,156953326
21656567585,394963411
11507106160,443590369
18035803003,31214702
21032123850,451212855
20426502024,711707322
14612124862,432299020
4355176132,262689468
12897413427,751858305
3492624480,255599109
15791396126,34456910
17210358514,222814609
20664476926,394963411
19413729687,420779328
18364417343,788908334
18249315969,448515209
4466113256,304853378
20247263063,711707322
18648329978,34456910
17081278538,36476030
18249538621,788908334
17502174304,546869519
18321528483,156953326
18362612598,711707322
17470212612,394963411
2065187975,128545895
11742453214,18743710
13379407924,171702955
16153390406,403592743
20759259656,711707322
19555137699,34456910
21140708584,74804504
18939632967,94916928
19953574843,448515209
16619940703,410557043
19826501236,711707322
20468788933,34456910
3017024580,1244398
12992394700,264419050
9121938843,171702955
17672279619,777511318
20160927001,711707322
17091308110,18743710
19750211425,620639269
21708989911,788908334
18644420945,408344221
7247834197,132482029
8417094396,90299525
20721529119,156953326
18468212281,273839835
18650023710,222814609
18459535951,10787690
8824778295,297542131
21162236272,18196205
11598054765,394963411
6473649203,214030322
17376502028,711707322
7774723141,2293307
3584330344,132482029
6048474937,31214702
21656567585,394963411
23303833587,213800943
2115755495,22018518
11507106160,443590369
12897413427,751858305
18035803003,31214702
21032123850,451212855
20426502024,711707322
4355176132,262689468
14612124862,432299020
15791396126,34456910
17210358514,222814609
20664476926,394963411
19413729687,420779328
18364417343,788908334
18249315969,448515209
4466113256,304853378
20247263063,711707322
18648329978,34456910
17081278538,36476030
18249538621,788908334
17502174304,546869519
17470212612,394963411
18362612598,711707322
19555137699,34456910
18939632967,94916928
2065187975,128545895
13379407924,171702955
11742453214,18743710
20759259656,711707322
16153390406,403592743
21140708584,74804504
18321528483,156953326
3017024580,1244398
16619940703,410557043
19826501236,711707322
20468788933,34456910
17091308110,18743710
18644420945,408344221
19953574843,448515209
17672279619,777511318
20160927001,711707322
9121938843,171702955
12992394700,264419050
21708989911,788908334
18650023710,222814609
19750211425,620639269
7247834197,132482029
18468212281,273839835
8417094396,90299525
17376502028,711707322
18459535951,10787690
8824778295,297542131
3584330344,132482029
6473649203,214030322
21162236272,18196205
11598054765,394963411
7774723141,2293307
6048474937,31214702
2115755495,22018518
23303833587,213800943
20721529119,156953326
21656567585,394963411
11507106160,443590369
18035803003,31214702
21032123850,451212855
20426502024,711707322
14612124862,432299020
4355176132,262689468
12897413427,751858305
15791396126,34456910
17210358514,222814609
20664476926,394963411
19413729687,420779328
18364417343,788908334
18249315969,448515209
4466113256,304853378
20247263063,711707322
18648329978,34456910
17081278538,36476030
18249538621,788908334
17502174304,546869519
18321528483,156953326
18362612598,711707322
17470212612,394963411
2065187975,128545895
11742453214,18743710
13379407924,171702955
16153390406,403592743
20759259656,711707322
19555137699,34456910
21140708584,74804504
18939632967,94916928
19953574843,448515209
16619940703,410557043
19826501236,711707322
20468788933,34456910
3017024580,1244398
12992394700,264419050
9121938843,171702955
17672279619,777511318
20160927001,711707322
17091308110,18743710
19750211425,620639269
21708989911,788908334
18644420945,408344221
7247834197,132482029
8417094396,90299525
20721529119,156953326
18468212281,273839835
18650023710,222814609
18459535951,10787690
8824778295,297542131
21162236272,18196205
11598054765,394963411
6473649203,214030322
17376502028,711707322
7774723141,2293307
3584330344,132482029
6048474937,31214702
21656567585,394963411
23303833587,213800943
2115755495,22018518
11507106160,443590369
12897413427,751858305
18035803003,31214702
21032123850,451212855
20426502024,711707322
4355176132,262689468
14612124862,432299020
15791396126,34456910
17210358514,222814609
20664476926,394963411
19413729687,420779328
18364417343,788908334
18249315969,448515209
4466113256,304853378
20247263063,711707322
18648329978,34456910
17081278538,36476030
18249538621,788908334
17502174304,546869519
17470212612,394963411
18362612598,711707322
19555137699,34456910
18939632967,94916928
2065187975,128545895
13379407924,171702955
11742453214,18743710
20759259656,711707322
16153390406,403592743
21140708584,74804504
18321528483,156953326
3017024580,1244398
16619940703,410557043
19826501236,711707322
20468788933,34456910
17091308110,18743710
18644420945,408344221
19953574843,448515209
17672279619,777511318
20160927001,711707322
9121938843,171702955
12992394700,264419050
21708989911,788908334
18650023710,222814609
19750211425,620639269
7247834197,132482029
18468212281,273839835
8417094396,90299525
17376502028,711707322
18459535951,10787690
8824778295,297542131
3584330344,132482029
6473649203,214030322
21162236272,18196205
11598054765,394963411
7774723141,2293307
6048474937,31214702
2115755495,22018518
23303833587,213800943
20721529119,156953326
21656567585,394963411
11507106160,443590369
18035803003,31214702
21032123850,451212855
20426502024,711707322
14612124862,432299020
4355176132,262689468
12897413427,751858305
15791396126,34456910
17210358514,222814609
20664476926,394963411
19413729687,420779328
18364417343,788908334
18249315969,448515209
4466113256,304853378
20247263063,711707322
18648329978,34456910
17081278538,36476030
18249538621,788908334
17502174304,546869519
18321528483,156953326
18362612598,711707322
17470212612,394963411
2065187975,128545895
11742453214,18743710
13379407924,171702955
16153390406,403592743
20759259656,711707322
19555137699,34456910
21140708584,74804504
18939632967,94916928
19953574843,448515209
16619940703,410557043
19826501236,711707322
20468788933,34456910
3017024580,1244398
12992394700,264419050
9121938843,171702955
17672279619,777511318
20160927001,711707322
17091308110,18743710
19750211425,620639269
21708989911,788908334
18644420945,408344221
7247834197,132482029
8417094396,90299525
20721529119,156953326
18468212281,273839835
18650023710,222814609
18459535951,10787690
8824778295,297542131
21162236272,18196205
11598054765,394963411
6473649203,214030322
17376502028,711707322
7774723141,2293307
3584330344,132482029
6048474937,31214702
21656567585,394963411
23303833587,213800943
2115755495,22018518
11507106160,443590369
12897413427,751858305
18035803003,31214702
21032123850,451212855
20426502024,711707322
4355176132,262689468
14612124862,432299020
15791396126,34456910
17210358514,222814609
20664476926,394963411
19413729687,420779328
18364417343,788908334
18249315969,448515209
4466113256,304853378
20247263063,711707322
18648329978,34456910
17081278538,36476030
18249538621,788908334
17502174304,546869519
18321528483,156953326
18362612598,711707322
17470212612,394963411
2065187975,128545895
11742453214,18743710
13379407924,171702955
16153390406,403592743
20759259656,711707322
19555137699,34456910
21140708584,74804504
18939632967,94916928
19953574843,448515209
16619940703,410557043
19826501236,711707322
20468788933,34456910
3017024580,1244398
12992394700,264419050
9121938843,171702955
17672279619,777511318
20160927001,711707322
17091308110,18743710
19750211425,620639269
21708989911,788908334
18644420945,408344221
7247834197,132482029
8417094396,90299525
20721529119,156953326
18468212281,273839835
18650023710,222814609
18459535951,10787690
8824778295,297542131
21162236272,18196205
11598054765,394963411
6473649203,214030322
17376502028,711707322
7774723141,2293307
3584330344,132482029
6048474937,31214702
21656567585,394963411
23303833587,213800943
2115755495,22018518
11507106160,443590369
12897413427,751858305
18035803003,31214702
21032123850,451212855
20426502024,711707322
4355176132,262689468
14612124862,432299020
